id,views,duration,likes,dislikes,comments,favorites
pxn0wL_uSm4,6063813,PT30M27S,22223,None_key,928,0
VAH-ixdFWFs,14420753,PT20M1S,59592,None_key,1918,0
sbvAcB0GGTU,744175,PT12S,8497,None_key,113,0
NU1DXw297KA,49685889,PT21S,1033078,None_key,8647,0
Zg6ainv9ujw,19299767,PT10S,696306,None_key,14395,0
lOKASgtr6kU,226966051,PT15M3S,5807534,None_key,104989,0
hhVand-kWHA,369528,PT37M35S,19306,None_key,1933,0
pI83CyPd26Q,11344306,PT1M,739245,None_key,11322,0
e28-AugjVAw,186431,PT10M57S,944,None_key,27,0
ca6-AbCD_WY,2672835,PT8M16S,121983,None_key,1952,0
NQO3lfYP4hw,2044830,PT17S,21713,None_key,234,0
teFedGCI9sA,19797239,PT1M1S,1174678,None_key,7216,0
u4XbDY2BHCU,119420999,PT13S,None_key,None_key,6551,0
uLcBpuB8UiA,1488337,PT34M3S,3399,None_key,49,0
m4MV6JoQFgE,3274802,PT1H1M55S,1663,None_key,0,0
qAOeOSBAIiY,1461605,PT21S,15466,None_key,194,0
uYJQIKAVBw8,1220676,PT2H1S,2750,None_key,87,0
pX3ZO0zz5LI,6013426,PT1M,189010,None_key,3123,0
p3xz_Vg4mo8,342538,PT11H54M57S,512,None_key,53,0
c2OTHeCKsBE,309478820,PT2M,437873,None_key,5897,0
ZkNG47vgfgY,55186633,PT6S,646813,None_key,1037,0
btnOlPT7G7w,23946163,PT26S,1188481,None_key,10551,0
iucW5evsuLE,5945099,PT3H1M16S,13593,None_key,397,0
4-yPeCpk0zg,36243466,PT14S,1800662,None_key,11400,0
DlbIjoRoySo,600980,PT17M37S,2554,None_key,95,0
ZSFvMhFxD_4,12024846,PT17S,1085790,None_key,8573,0
NKjiKF-6OgE,70534601,PT57S,4580757,None_key,80189,0
QLrKHhvvWvc,369449,PT10M53S,1735,None_key,35,0
OVwuPittcS8,114216293,PT21S,1215615,None_key,636,0
wi7ImT32eYk,8120923,PT49S,340189,None_key,4435,0
c0UWhMr2vI8,18351528,PT16S,1333806,None_key,23083,0
v8BtZ8IdoNY,134044933,PT24M42S,254391,None_key,0,0
B83nmCSwRuw,53984078,PT1M50S,497793,None_key,11445,0
IFPhUy6dkZw,11062862,PT38M9S,13924,None_key,None_key,0
3ZtEPmy9oXg,9024036,PT15S,482250,None_key,6707,0
h5rVVlDo4Zk,1005444,PT1M,84944,None_key,1941,0
9QCKe-lQQOo,362373,PT6H16M20S,2390,None_key,243,0
rZVpo5HbDf8,55868134,PT6M36S,331399,None_key,10663,0
ZM68sTmKPz8,34435871,PT30S,1802299,None_key,25977,0
BYh3Gykv90w,971903,PT6H29M49S,3372,None_key,80,0
gHUGgBcCK2Q,1016896,PT17S,12955,None_key,89,0
mL9wpNZm-Ic,1129913,PT53S,107597,None_key,1402,0
tkOD7i0nF28,382392,PT4M22S,35159,None_key,1270,0
S7x49h58WdA,49253613,PT27S,708334,None_key,1760,0
CxSNfSTkKDI,897700,PT43S,61367,None_key,562,0
2dPogeNhEoQ,5314605,PT8M45S,291384,None_key,8620,0
UzBh9y5F4PE,7469706,PT18S,78417,None_key,278,0
zgDqacz5g1E,16821140,PT28S,1062402,None_key,34273,0
rBGQb8iSTtU,2185967,PT35M2S,4004,None_key,56,0
VIbmqAGuZTc,221278,PT10M47S,1044,None_key,31,0
