id,views,duration,likes,dislikes,comments,favorites
y0sF5xhGreA,12234878,PT20M2S,48905,None_key,1783,0
8ie5cs-VAQg,97732577,PT1M,3939141,None_key,13409,0
3bhkYoMWTFE,377076261,PT18S,9359913,None_key,58333,0
RrdKGO012_Y,77946452,PT20S,1906003,None_key,10143,0
2NShWweRMx4,6543708,PT59S,356675,None_key,2403,0
MlDtL2hIj-Q,896606,PT31M57S,4105,None_key,186,0
j290npeXNvM,14927438,PT1M1S,1309869,None_key,5961,0
peQHKk3jAeo,103834167,PT51S,3982711,None_key,15809,0
y72wWZS0Vy4,136572,PT10M7S,878,None_key,38,0
g2KJRwjUg9Q,176955841,PT19M34S,510214,None_key,None_key,0
3YcSsQkJrl8,6213458,PT1H47S,9197,None_key,0,0
LuTwmm-ExrA,399821922,PT4M13S,1094658,None_key,None_key,0
cW__YC4KQGE,9468222,PT10S,167127,None_key,1055,0
Up0iyugFihc,58753010,PT5M22S,212250,None_key,None_key,0
WXiob9G64Lk,8547498,PT1M,338910,None_key,1259,0
ZAlYpNfFcx0,16943318,PT23M33S,27423,None_key,0,0
eY2tfLv1OJ8,658847,PT1H59M38S,3125,None_key,123,0
tY4FtT2whtc,109198533,PT9S,2760404,None_key,31584,0
i4yl4LK48C0,9541596,PT36S,794222,None_key,11849,0
co47u19cbds,661722,PT15M3S,4383,None_key,217,0
7-mBCYyohyg,2091401,PT12M12S,40162,None_key,1315,0
9ImL3zkMx2E,3469416,PT23S,140886,None_key,1786,0
E0lvrU7Se14,5022228,PT24S,445682,None_key,5873,0
OOxIMiMDnCE,6001737,PT59S,509954,None_key,3160,0
o06kiU0qVfI,4645109,PT1H1M30S,3423,None_key,0,0
74nTNPCJrEo,41443241,PT58S,1449902,None_key,7021,0
DixdzXAFS18,986401,PT30M11S,4260,None_key,137,0
OpB_GvoAqg8,16496897,PT7S,259088,None_key,2609,0
DEXqfNlSFVY,20026469,PT23M33S,6864,None_key,0,0
aGVJ_unDBaY,11391255,PT1H51M37S,24348,None_key,0,0
daMMPJUQqzU,126513671,PT30S,4226546,None_key,32207,0
QZHVhDjpEkE,138956731,PT20S,4638591,None_key,8157,0
NlxYY7w1UGU,64388775,PT34S,1710216,None_key,10195,0
Op3NJrb3mFg,53185286,PT50S,1920774,None_key,14248,0
oZZ0uFIA5Fs,89876021,PT26S,2015256,None_key,12203,0
7RX3gtJLodI,42158298,PT55S,2435028,None_key,16868,0
fKyz2FO-4BE,25172793,PT59S,1401945,None_key,4324,0
PaUHeXb4Yf0,259699287,PT16M13S,594958,None_key,0,0
ad25P7Nlf2I,12984968,PT3M2S,365823,None_key,16384,0
JxS5E-kZc2s,56580680,PT16M45S,357973,None_key,14667,0
xnmpvO-gt6w,301489462,PT10M1S,1599473,None_key,40474,0
G6aOa6SURWM,50323182,PT20S,1549633,None_key,2402,0
QtYN1NXM4Y8,522815,PT10M23S,5254,None_key,212,0
BkAxAIeSdpU,11112456,PT1H50M3S,23796,None_key,0,0
BwSQyuUxYfI,74433163,PT5M44S,238305,None_key,6889,0
NvkDYazj_6Q,4695557,PT13M4S,25126,None_key,1531,0
yWHbBD0GuE0,16377612,PT20M12S,None_key,None_key,0,0
dqhCp23mbSw,4856990,PT1H24M57S,83514,None_key,1005,0
28O4PxyCG9E,75974915,PT45S,2801961,None_key,116282,0
w2mgq19Py4Y,38887025,PT32S,827919,None_key,4763,0
